route,member_casual,road_distance_km,route_frequency
"41.8908,-87.6317,41.8923,-87.612",casual,1.794,243
"41.8908,-87.6317,41.899,-87.6299",casual,1.078,137
"41.8908,-87.6317,41.899,-87.6299",member,1.078,292
"41.8908,-87.6317,41.903,-87.6313",casual,1.646,127
"41.8908,-87.6317,41.903,-87.6313",member,1.646,373
"41.8908,-87.6317,41.9032,-87.6343",casual,1.918,111
"41.8908,-87.6317,41.9117,-87.6268",casual,4.58,108
"41.891,-87.6355,41.8892,-87.6385",member,0.446,213
"41.8915,-87.6268,41.8759,-87.6306",member,2.113,252
"41.8915,-87.6268,41.881,-87.6241",casual,1.971,119
"41.8915,-87.6268,41.8834,-87.6412",member,2.613,256
"41.8915,-87.6268,41.884,-87.6247",casual,1.004,129
"41.8915,-87.6268,41.8846,-87.6278",casual,0.903,106
"41.8915,-87.6268,41.8908,-87.6186",member,1.029,244
"41.8915,-87.6268,41.8923,-87.612",casual,1.711,363
"41.8915,-87.6268,41.8926,-87.6173",casual,0.892,126
"41.8915,-87.6268,41.8926,-87.6173",member,0.892,359
"41.8915,-87.6268,41.901,-87.6238",casual,1.273,100
"41.8916,-87.6484,41.8887,-87.6444",member,0.477,224
"41.8916,-87.6484,41.8892,-87.6385",member,0.919,272
"41.8918,-87.6206,41.8834,-87.6412",member,2.453,267
"41.8918,-87.6206,41.8908,-87.6317",casual,1.169,104
"41.8918,-87.6206,41.8915,-87.6268",casual,0.528,121
"41.8918,-87.6206,41.8915,-87.6268",member,0.528,444
"41.8918,-87.6206,41.8923,-87.612",casual,1.304,289
"41.8922,-87.6119,41.8923,-87.612",casual,0.01,252
"41.8923,-87.612,41.8574,-87.6138",casual,8.835,164
"41.8923,-87.612,41.8653,-87.6179",casual,3.784,266
"41.8923,-87.612,41.8661,-87.6073",casual,4.677,447
"41.8923,-87.612,41.8672,-87.6154",casual,4.26,967
"41.8923,-87.612,41.8679,-87.623",casual,3.471,411
"41.8923,-87.612,41.8679,-87.623",member,3.471,231
"41.8923,-87.612,41.8683,-87.624",casual,3.651,101
"41.8923,-87.612,41.8728,-87.624",casual,4.151,498
"41.8923,-87.612,41.8762,-87.6244",casual,2.978,196
"41.8923,-87.612,41.8767,-87.6205",casual,2.343,123
"41.8923,-87.612,41.878,-87.6241",casual,2.788,155
"41.8923,-87.612,41.8794,-87.6355",casual,3.524,112
"41.8923,-87.612,41.881,-87.6167",casual,1.676,2049
"41.8923,-87.612,41.881,-87.6167",member,1.676,364
"41.8923,-87.612,41.881,-87.6241",casual,2.186,1532
"41.8923,-87.612,41.884,-87.6247",casual,2.041,421
"41.8923,-87.612,41.8846,-87.6278",casual,2.141,169
"41.8923,-87.612,41.8847,-87.6195",casual,2.157,167
"41.8923,-87.612,41.886,-87.6244",casual,2.137,260
"41.8923,-87.612,41.886,-87.6309",casual,2.229,105
"41.8923,-87.612,41.8863,-87.6175",casual,2.398,145
"41.8923,-87.612,41.8869,-87.626",casual,1.853,298
"41.8923,-87.612,41.887,-87.6128",casual,2.608,487
"41.8923,-87.612,41.887,-87.6128",member,2.608,803
"41.8923,-87.612,41.8894,-87.6271",casual,1.544,155
"41.8923,-87.612,41.8902,-87.6262",casual,1.444,162
"41.8923,-87.612,41.8906,-87.6221",casual,1.118,163
"41.8923,-87.612,41.8908,-87.6186",casual,1.007,276
"41.8923,-87.612,41.8908,-87.6186",member,1.007,262
"41.8923,-87.612,41.8908,-87.6317",casual,1.948,234
"41.8923,-87.612,41.8915,-87.6268",casual,1.307,727
"41.8923,-87.612,41.8915,-87.6268",member,1.307,337
"41.8923,-87.612,41.8918,-87.6206",casual,0.78,443
"41.8923,-87.612,41.8926,-87.6173",casual,0.665,388
"41.8923,-87.612,41.8926,-87.6173",member,0.665,459
"41.8923,-87.612,41.894,-87.6293",casual,1.83,183
"41.8923,-87.612,41.8943,-87.6228",casual,1.234,373
"41.8923,-87.612,41.8945,-87.6179",casual,0.838,126
"41.8923,-87.612,41.8945,-87.6179",member,0.838,230
"41.8923,-87.612,41.8949,-87.6323",casual,2.099,112
"41.8923,-87.612,41.8957,-87.6201",member,1.212,215
"41.8923,-87.612,41.8958,-87.6259",casual,1.81,173
"41.8923,-87.612,41.8969,-87.6218",casual,1.26,213
"41.8923,-87.612,41.8977,-87.6235",casual,1.583,225
"41.8923,-87.612,41.8986,-87.6219",casual,1.411,285
"41.8923,-87.612,41.901,-87.6238",casual,1.728,1542
"41.8923,-87.612,41.901,-87.6238",member,1.728,346
"41.8923,-87.612,41.9023,-87.6277",casual,2.168,142
"41.8923,-87.612,41.903,-87.6313",casual,2.562,137
"41.8923,-87.612,41.908,-87.6315",casual,4.24,113
"41.8923,-87.612,41.9117,-87.6268",casual,3.215,1495
"41.8923,-87.612,41.9117,-87.6268",member,3.215,411
"41.8923,-87.612,41.912,-87.6319",casual,3.795,225
"41.8923,-87.612,41.9121,-87.6347",casual,4.09,123
"41.8923,-87.612,41.9157,-87.6346",casual,3.958,340
"41.8923,-87.612,41.9183,-87.6363",casual,4.313,391
"41.8923,-87.612,41.9239,-87.6358",casual,5.108,397
"41.8923,-87.612,41.9259,-87.639",casual,5.195,218
"41.8923,-87.612,41.9263,-87.6308",casual,4.469,1316
"41.8923,-87.612,41.9263,-87.6308",member,4.469,435
"41.8923,-87.612,41.9268,-87.6344",casual,4.977,221
"41.8923,-87.612,41.9313,-87.6387",casual,5.676,131
"41.8923,-87.612,41.9326,-87.6364",casual,5.546,296
"41.8923,-87.612,41.9367,-87.6368",casual,6.73,263
"41.8923,-87.612,41.9408,-87.6392",casual,6.543,337
"41.8923,-87.612,41.9495,-87.6465",casual,8.827,137
"41.8923,-87.612,41.964,-87.6382",casual,9.433,221
"41.8923,-87.612,41.9658,-87.6454",casual,9.252,104
"41.8923,-87.612,41.984,-87.6523",casual,11.264,105
"41.8924,-87.6769,41.9031,-87.6739",casual,1.478,147
"41.8926,-87.6173,41.8672,-87.6154",casual,4.645,120
"41.8926,-87.6173,41.881,-87.6167",casual,3.378,148
"41.8926,-87.6173,41.881,-87.6241",casual,2.466,101
"41.8926,-87.6173,41.8915,-87.6268",casual,1.507,101
"41.8926,-87.6173,41.8915,-87.6268",member,1.507,340
"41.8926,-87.6173,41.8918,-87.6206",member,0.98,246
"41.8926,-87.6173,41.8923,-87.612",casual,1.457,406
"41.8926,-87.6173,41.8923,-87.612",member,1.457,212
"41.8926,-87.6173,41.901,-87.6238",casual,1.615,190
"41.8926,-87.6173,41.903,-87.6313",member,2.449,231
"41.8926,-87.6173,41.9117,-87.6268",casual,2.846,385
"41.8926,-87.6173,41.9263,-87.6308",casual,4.518,168
"41.8938,-87.6417,41.8882,-87.6364",member,0.873,220
"41.8938,-87.6417,41.8892,-87.6385",casual,0.657,125
"41.8938,-87.6417,41.8892,-87.6385",member,0.657,1237
"41.8938,-87.6417,41.8899,-87.6343",member,0.883,211
"41.8938,-87.6417,41.894,-87.6293",member,1.027,300
"41.8938,-87.6417,41.8978,-87.6429",member,0.568,311
"41.894,-87.6293,41.8782,-87.6319",member,2.273,330
"41.894,-87.6293,41.8834,-87.6412",member,2.846,236
"41.894,-87.6293,41.8892,-87.6385",member,1.496,272
"41.894,-87.6293,41.8923,-87.612",casual,1.944,136
"41.894,-87.6293,41.8943,-87.6228",member,0.558,279
"41.894,-87.6293,41.8978,-87.6429",member,1.752,328
"41.894,-87.6293,41.899,-87.6299",member,0.776,263
"41.894,-87.6293,41.903,-87.6313",casual,1.344,110
"41.894,-87.6293,41.903,-87.6313",member,1.344,390
"41.894,-87.6293,41.9032,-87.6343",casual,1.616,108
"41.894,-87.6293,41.9117,-87.6268",casual,2.425,103
"41.8943,-87.6228,41.8834,-87.6412",member,2.563,323
"41.8943,-87.6228,41.8842,-87.6296",member,2.102,208
"41.8943,-87.6228,41.8915,-87.6268",member,0.638,269
"41.8943,-87.6228,41.8923,-87.612",casual,1.414,219
"41.8943,-87.6228,41.8945,-87.6179",member,0.456,387
"41.8943,-87.6228,41.903,-87.6313",member,1.678,291
"41.8943,-87.6228,41.9183,-87.6363",member,3.614,227
"41.8945,-87.6179,41.8923,-87.612",casual,1.016,197
"41.8945,-87.6179,41.8943,-87.6228",member,0.546,256
"41.8945,-87.6179,41.8966,-87.6286",member,1.152,218
"41.8945,-87.6179,41.9117,-87.6268",casual,2.545,144
"41.8946,-87.6534,41.8892,-87.6385",member,1.548,254
"41.8947,-87.6344,41.8892,-87.6385",casual,0.972,122
"41.8947,-87.6344,41.8892,-87.6385",member,0.972,317
"41.8947,-87.6344,41.8899,-87.6343",casual,0.74,128
"41.8947,-87.6344,41.8899,-87.6343",member,0.74,367
"41.8947,-87.6344,41.8966,-87.6286",member,0.894,246
"41.8947,-87.6344,41.8977,-87.6235",member,1.414,239
"41.8947,-87.6344,41.8978,-87.6429",member,1.05,260
"41.8947,-87.6344,41.903,-87.6313",casual,1.382,128
"41.8947,-87.6344,41.903,-87.6313",member,1.382,322
"41.8947,-87.6344,41.9032,-87.6343",casual,1.163,272
"41.8947,-87.6344,41.9032,-87.6343",member,1.163,669
"41.8947,-87.6344,41.9067,-87.6348",casual,1.921,175
"41.8947,-87.6344,41.9121,-87.6347",casual,2.15,169
"41.8947,-87.6344,41.9121,-87.6347",member,2.15,425
"41.8947,-87.6384,41.8892,-87.6385",casual,0.983,140
"41.8947,-87.6384,41.8892,-87.6385",member,0.983,341
"41.8947,-87.6384,41.8899,-87.6343",member,0.909,306
"41.8947,-87.6384,41.8938,-87.6417",member,0.363,247
"41.8947,-87.6384,41.8966,-87.6286",member,1.016,231
"41.8947,-87.6384,41.903,-87.6313",member,1.504,229
"41.8949,-87.6323,41.8947,-87.6344",member,0.174,239
"41.8958,-87.6259,41.8915,-87.6268",member,0.801,237
"41.8958,-87.6259,41.8947,-87.6344",member,1.051,297
"41.8964,-87.6541,41.8978,-87.6429",member,1.066,269
"41.8966,-87.6286,41.891,-87.6355",member,1.213,219
"41.8966,-87.6286,41.8938,-87.6417",member,1.383,213
"41.8966,-87.6286,41.894,-87.6293",member,0.664,207
"41.8966,-87.6286,41.8947,-87.6344",member,0.684,272
"41.8966,-87.6286,41.8969,-87.6218",member,0.574,227
"41.8966,-87.6286,41.8978,-87.6429",casual,1.335,105
"41.8966,-87.6286,41.8978,-87.6429",member,1.335,311
"41.8966,-87.6286,41.8982,-87.6375",member,0.909,263
"41.8966,-87.6286,41.899,-87.6299",member,0.359,208
"41.8966,-87.6286,41.9023,-87.6277",member,0.723,236
"41.8966,-87.6286,41.903,-87.6313",member,0.927,493
"41.8966,-87.6286,41.9032,-87.6343",casual,1.199,110
"41.8966,-87.6286,41.9032,-87.6343",member,1.199,463
"41.8966,-87.6286,41.908,-87.6315",member,1.698,232
"41.8967,-87.6357,41.8974,-87.6344",member,0.188,251
"41.8967,-87.6357,41.9032,-87.6343",member,0.87,294
"41.8968,-87.6309,41.8943,-87.6228",member,0.974,222
"41.8968,-87.6309,41.903,-87.6313",member,0.967,215
"41.8969,-87.6218,41.8923,-87.612",casual,1.467,180
"41.8969,-87.6218,41.8966,-87.6286",member,0.574,220
"41.8969,-87.6218,41.8977,-87.6235",member,0.351,242
"41.8969,-87.6218,41.8986,-87.6219",member,0.189,339
"41.8974,-87.6287,41.8834,-87.6412",member,3.181,213
"41.8974,-87.6344,41.8967,-87.6357",member,0.188,251
"41.8974,-87.6344,41.9032,-87.6343",casual,0.656,117
"41.8974,-87.6344,41.9032,-87.6343",member,0.656,263
"41.8974,-87.6344,41.9121,-87.6347",casual,1.643,104
"41.8977,-87.6235,41.881,-87.6241",casual,3.154,123
"41.8977,-87.6235,41.8923,-87.612",casual,1.683,235
"41.8977,-87.6235,41.901,-87.6238",casual,0.703,124
"41.8978,-87.6429,41.8783,-87.641",member,2.632,242
"41.8978,-87.6429,41.8793,-87.6399",member,3.109,291
"41.8978,-87.6429,41.8834,-87.6412",member,2.065,266
"41.8978,-87.6429,41.8892,-87.6385",member,1.187,325
"41.8978,-87.6429,41.8938,-87.6417",member,0.568,311
"41.8978,-87.6429,41.8958,-87.6259",member,1.667,226
"41.8978,-87.6429,41.8964,-87.6541",member,1.066,284
"41.8978,-87.6429,41.8966,-87.6286",member,1.335,333
"41.8978,-87.6429,41.8982,-87.6375",member,0.824,232
"41.8978,-87.6429,41.9002,-87.643",member,0.266,254
"41.8978,-87.6429,41.9032,-87.6343",member,1.308,238
"41.8978,-87.6429,41.9035,-87.6434",member,0.634,291
"41.8978,-87.6429,41.9097,-87.6481",member,1.729,236
"41.8982,-87.6375,41.8892,-87.6385",member,1.491,220
"41.8982,-87.6375,41.8966,-87.6286",member,0.907,206
"41.8982,-87.6375,41.8978,-87.6429",member,0.824,228
"41.8982,-87.6375,41.903,-87.6313",member,1.047,280
"41.8982,-87.6375,41.9032,-87.6343",casual,0.823,133
"41.8984,-87.6866,41.9031,-87.6739",member,1.607,228
"41.8986,-87.6219,41.8923,-87.612",casual,2.078,275
"41.8986,-87.6219,41.8966,-87.6286",member,1.07,213
"41.8986,-87.6219,41.901,-87.6238",casual,0.455,195
"41.8986,-87.6219,41.903,-87.6313",member,1.308,288
"41.899,-87.6299,41.8793,-87.6399",member,3.231,231
"41.899,-87.6299,41.8908,-87.6317",casual,1.413,143
"41.899,-87.6299,41.8967,-87.6357",member,0.941,262
"41.899,-87.6299,41.903,-87.6313",member,0.568,313
"41.899,-87.6299,41.9117,-87.6268",casual,1.834,150
"41.8992,-87.6722,41.9035,-87.6677",member,1.129,240
"41.8999,-87.6344,41.8899,-87.6343",casual,1.125,180
"41.8999,-87.6344,41.8899,-87.6343",member,1.125,281
"41.8999,-87.6344,41.8966,-87.6286",member,0.832,214
"41.8999,-87.6344,41.9032,-87.6343",member,0.366,234
"41.8999,-87.6344,41.9121,-87.6347",casual,1.354,120
"41.9,-87.62,41.89,-87.61",casual,2.335,320
"41.9,-87.62,41.89,-87.63",casual,2.122,127
"41.9,-87.62,41.8923,-87.612",casual,1.973,138
"41.9,-87.62,41.901,-87.6238",casual,0.536,149
"41.9,-87.62,41.91,-87.63",casual,1.902,216
"41.9,-87.62,41.92,-87.63",casual,4.221,157
"41.9,-87.62,41.93,-87.63",casual,3.847,127
"41.9,-87.63,41.89,-87.62",casual,2.253,122
"41.9,-87.63,41.89,-87.62",member,2.253,258
"41.9,-87.63,41.8966,-87.6286",member,0.71,250
"41.9,-87.63,41.9121,-87.6347",casual,1.719,105
"41.9,-87.63,41.9121,-87.6347",member,1.719,209
"41.9002,-87.643,41.8978,-87.6429",member,0.266,255
"41.9002,-87.643,41.903,-87.6313",member,1.267,242
"41.9002,-87.643,41.9032,-87.6343",member,1.042,289
"41.9004,-87.6967,41.9227,-87.6972",casual,2.533,104
"41.901,-87.6238,41.8661,-87.6073",casual,8.656,113
"41.901,-87.6238,41.8672,-87.6154",casual,8.239,211
"41.901,-87.6238,41.8679,-87.623",casual,7.45,125
"41.901,-87.6238,41.881,-87.6167",casual,5.654,619
"41.901,-87.6238,41.881,-87.6241",casual,6.164,320
"41.901,-87.6238,41.8869,-87.626",casual,6.305,100
"41.901,-87.6238,41.887,-87.6128",casual,5.603,248
"41.901,-87.6238,41.8915,-87.6268",casual,5.278,158
"41.901,-87.6238,41.8923,-87.612",casual,4.692,1268
"41.901,-87.6238,41.8923,-87.612",member,4.692,255
"41.901,-87.6238,41.8926,-87.6173",casual,4.635,218
"41.901,-87.6238,41.8986,-87.6219",casual,3.767,115
"41.901,-87.6238,41.9117,-87.6268",casual,1.643,606
"41.901,-87.6238,41.9117,-87.6268",member,1.643,342
"41.901,-87.6238,41.912,-87.6319",casual,2.223,102
"41.901,-87.6238,41.9157,-87.6346",casual,2.386,202
"41.901,-87.6238,41.9183,-87.6363",casual,2.741,167
"41.901,-87.6238,41.9239,-87.6358",casual,3.536,243
"41.901,-87.6238,41.9259,-87.639",casual,3.623,165
"41.901,-87.6238,41.9263,-87.6308",casual,2.897,845
"41.901,-87.6238,41.9263,-87.6308",member,2.897,517
"41.901,-87.6238,41.9268,-87.6344",casual,3.405,150
"41.901,-87.6238,41.9313,-87.6387",casual,4.104,155
"41.901,-87.6238,41.9326,-87.6364",casual,3.974,286
"41.901,-87.6238,41.9326,-87.6364",member,3.974,305
"41.901,-87.6238,41.9367,-87.6368",casual,5.158,266
"41.901,-87.6238,41.9367,-87.6368",member,5.158,275
"41.901,-87.6238,41.9376,-87.6441",casual,5.481,112
"41.901,-87.6238,41.9408,-87.6392",casual,4.971,363
"41.901,-87.6238,41.9408,-87.6392",member,4.971,245
"41.901,-87.6238,41.9495,-87.6465",casual,7.255,167
"41.901,-87.6238,41.964,-87.6382",casual,7.861,153
"41.901,-87.6238,41.984,-87.6523",casual,9.692,117
"41.9013,-87.6774,41.9035,-87.6677",member,1.296,299
"41.9013,-87.6774,41.9094,-87.6777",casual,1.283,159
"41.9013,-87.6774,41.9094,-87.6777",member,1.283,279
"41.9023,-87.6277,41.901,-87.6238",casual,0.625,102
"41.9023,-87.6277,41.9117,-87.6268",casual,1.323,100
"41.9029,-87.6873,41.9031,-87.6739",casual,1.109,117
"41.9029,-87.6873,41.9035,-87.6677",casual,1.913,225
"41.9029,-87.6873,41.9035,-87.6677",member,1.913,309
"41.903,-87.6313,41.8899,-87.6343",member,1.71,213
"41.903,-87.6313,41.8908,-87.6317",casual,1.562,160
"41.903,-87.6313,41.8908,-87.6317",member,1.562,401
"41.903,-87.6313,41.894,-87.6293",casual,1.152,107
"41.903,-87.6313,41.894,-87.6293",member,1.152,290
"41.903,-87.6313,41.8943,-87.6228",member,1.678,287
"41.903,-87.6313,41.8947,-87.6344",member,1.173,309
"41.903,-87.6313,41.8949,-87.6323",member,0.999,281
"41.903,-87.6313,41.8966,-87.6286",member,0.925,389
"41.903,-87.6313,41.8968,-87.6309",member,0.735,332
"41.903,-87.6313,41.8969,-87.6218",member,1.5,250
"41.903,-87.6313,41.8982,-87.6375",member,1.047,246
"41.903,-87.6313,41.8986,-87.6219",member,1.689,239
"41.903,-87.6313,41.899,-87.6299",member,0.624,219
"41.903,-87.6313,41.9002,-87.643",member,1.267,292
"41.903,-87.6313,41.9046,-87.6406",member,0.9,240
"41.903,-87.6313,41.908,-87.6315",casual,0.556,120
"41.903,-87.6313,41.908,-87.6315",member,0.556,495
"41.903,-87.6313,41.9117,-87.6268",casual,1.424,168
"41.903,-87.6313,41.9117,-87.6268",member,1.424,220
"41.903,-87.6313,41.912,-87.6319",member,1.001,282
"41.903,-87.6313,41.9121,-87.6347",casual,1.266,156
"41.903,-87.6313,41.9121,-87.6347",member,1.266,483
"41.903,-87.6313,41.9157,-87.6346",casual,1.468,109
"41.903,-87.6313,41.9157,-87.6346",member,1.468,218
"41.903,-87.6313,41.9183,-87.6363",casual,1.822,136
"41.903,-87.6313,41.9183,-87.6363",member,1.822,246
"41.903,-87.6838,41.9094,-87.6777",casual,1.21,113
"41.903,-87.6838,41.9094,-87.6777",member,1.21,245
"41.9031,-87.6739,41.8984,-87.6866",member,1.569,237
"41.9031,-87.6739,41.9035,-87.6677",member,0.797,299
"41.9032,-87.6343,41.8892,-87.6385",casual,1.927,156
"41.9032,-87.6343,41.8892,-87.6385",member,1.927,355
"41.9032,-87.6343,41.8908,-87.6317",casual,1.577,121
"41.9032,-87.6343,41.894,-87.6293",casual,1.426,100
"41.9032,-87.6343,41.8947,-87.6344",casual,0.955,279
"41.9032,-87.6343,41.8947,-87.6344",member,0.955,498
"41.9032,-87.6343,41.8966,-87.6286",member,1.199,456
"41.9032,-87.6343,41.8967,-87.6357",member,0.843,326
"41.9032,-87.6343,41.8968,-87.6309",member,1.008,240
"41.9032,-87.6343,41.8974,-87.6344",member,0.656,325
"41.9032,-87.6343,41.8982,-87.6375",casual,0.823,125
"41.9032,-87.6343,41.8999,-87.6344",member,0.366,372
"41.9032,-87.6343,41.9097,-87.6481",member,1.526,241
"41.9032,-87.6343,41.9121,-87.6347",casual,0.987,256
"41.9032,-87.6343,41.9121,-87.6347",member,0.987,671
"41.9032,-87.6343,41.9157,-87.6346",casual,1.571,106
"41.9033,-87.6784,41.9094,-87.6777",member,0.974,220
"41.9035,-87.6434,41.8978,-87.6429",member,0.634,379
"41.9035,-87.6434,41.9002,-87.643",member,0.368,204
"41.9035,-87.6434,41.9032,-87.6343",member,0.821,216
"41.9035,-87.6677,41.9013,-87.6774",member,1.819,242
"41.9035,-87.6677,41.9029,-87.6873",casual,1.654,204
"41.9035,-87.6677,41.9029,-87.6873",member,1.654,327
"41.9035,-87.6677,41.9031,-87.6739",member,0.538,219
"41.9035,-87.6677,41.9033,-87.6784",member,0.916,270
"41.9035,-87.6677,41.9094,-87.6777",member,1.892,214
"41.9035,-87.6677,41.9099,-87.6699",member,1.145,213
"41.9046,-87.6406,41.903,-87.6313",member,0.9,256
"41.9046,-87.6406,41.9097,-87.6481",member,0.902,253
"41.9046,-87.6406,41.9121,-87.6347",member,1.494,212
"41.9067,-87.6348,41.8892,-87.6385",casual,2.335,102
"41.9067,-87.6348,41.8947,-87.6344",casual,1.363,166
"41.9067,-87.6348,41.8947,-87.6344",member,1.363,209
"41.9067,-87.6348,41.9121,-87.6347",member,0.617,274
"41.9067,-87.6348,41.9218,-87.6441",casual,2.051,115
"41.9069,-87.6262,41.903,-87.6313",member,1.003,285
"41.9078,-87.6859,41.9094,-87.6777",casual,1.27,109
"41.9078,-87.6859,41.9094,-87.6777",member,1.27,464
"41.908,-87.6315,41.903,-87.6313",member,0.556,625
"41.908,-87.6315,41.9117,-87.6268",casual,0.867,116
"41.908,-87.6315,41.9183,-87.6363",casual,1.266,104
"41.908,-87.6315,41.9326,-87.6364",casual,3.179,135
"41.9094,-87.6777,41.8958,-87.6772",casual,1.531,182
"41.9094,-87.6777,41.8958,-87.6772",member,1.531,286
"41.9094,-87.6777,41.9013,-87.6774",casual,1.502,191
"41.9094,-87.6777,41.9013,-87.6774",member,1.502,324
"41.9094,-87.6777,41.903,-87.6838",member,1.251,329
"41.9094,-87.6777,41.9035,-87.6677",member,1.225,229
"41.9094,-87.6777,41.9078,-87.6859",member,1.131,385
"41.9097,-87.6481,41.9032,-87.6343",casual,1.525,111
"41.9097,-87.6481,41.9032,-87.6343",member,1.525,323
"41.9097,-87.6481,41.9106,-87.6494",member,0.217,337
"41.9097,-87.6481,41.9114,-87.6387",member,0.973,312
"41.9099,-87.6699,41.9035,-87.6677",member,0.92,257
"41.91,-87.62,41.89,-87.61",casual,4.053,136
"41.91,-87.62,41.93,-87.64",casual,3.443,126
"41.91,-87.63,41.89,-87.61",casual,4.185,183
"41.91,-87.63,41.9,-87.62",casual,1.905,225
"41.91,-87.63,41.903,-87.6313",member,0.897,212
"41.91,-87.63,41.92,-87.64",casual,1.587,165
"41.91,-87.63,41.92,-87.64",member,1.587,210
"41.91,-87.63,41.92,-87.65",casual,2.76,125
"41.91,-87.63,41.93,-87.64",casual,2.787,244
"41.91,-87.63,41.93,-87.64",member,2.787,219
"41.91,-87.63,41.93,-87.65",casual,3.219,106
"41.91,-87.63,41.94,-87.64",casual,4.318,116
"41.91,-87.63,41.94,-87.65",casual,5.145,119
"41.9105,-87.6531,41.9139,-87.6488",member,0.729,205
"41.9106,-87.6494,41.9097,-87.6481",member,0.204,262
"41.9114,-87.6387,41.8892,-87.6385",member,3.095,216
"41.9114,-87.6387,41.9035,-87.6434",member,1.271,209
"41.9114,-87.6387,41.9097,-87.6481",member,0.962,331
"41.9114,-87.6387,41.9117,-87.6268",casual,1.31,122
"41.9114,-87.6387,41.9183,-87.6363",casual,0.966,167
"41.9114,-87.6387,41.9183,-87.6363",member,0.966,276
"41.9114,-87.6387,41.9218,-87.6441",casual,1.368,105
"41.9114,-87.6387,41.9222,-87.6389",casual,1.201,161
"41.9114,-87.6387,41.9222,-87.6389",member,1.201,305
"41.9117,-87.6268,41.8672,-87.6154",casual,6.725,129
"41.9117,-87.6268,41.881,-87.6167",casual,4.14,562
"41.9117,-87.6268,41.881,-87.6241",casual,4.65,163
"41.9117,-87.6268,41.8863,-87.6175",casual,5.595,123
"41.9117,-87.6268,41.887,-87.6128",casual,4.089,331
"41.9117,-87.6268,41.8908,-87.6186",casual,3.464,101
"41.9117,-87.6268,41.8918,-87.6206",casual,3.236,125
"41.9117,-87.6268,41.8923,-87.612",casual,3.178,1262
"41.9117,-87.6268,41.8923,-87.612",member,3.178,355
"41.9117,-87.6268,41.8926,-87.6173",casual,3.121,284
"41.9117,-87.6268,41.899,-87.6299",casual,2.197,104
"41.9117,-87.6268,41.901,-87.6238",casual,1.634,580
"41.9117,-87.6268,41.901,-87.6238",member,1.634,248
"41.9117,-87.6268,41.9023,-87.6277",casual,1.318,108
"41.9117,-87.6268,41.903,-87.6313",casual,1.424,212
"41.9117,-87.6268,41.903,-87.6313",member,1.424,315
"41.9117,-87.6268,41.9032,-87.6343",casual,1.854,126
"41.9117,-87.6268,41.9067,-87.6348",casual,1.768,124
"41.9117,-87.6268,41.91,-87.63",casual,0.645,136
"41.9117,-87.6268,41.9114,-87.6387",casual,1.309,133
"41.9117,-87.6268,41.912,-87.6319",casual,0.762,116
"41.9117,-87.6268,41.9121,-87.6347",casual,1.058,109
"41.9117,-87.6268,41.9157,-87.6346",casual,0.925,178
"41.9117,-87.6268,41.9183,-87.6363",casual,1.28,234
"41.9117,-87.6268,41.9199,-87.6488",casual,2.505,107
"41.9117,-87.6268,41.9215,-87.6538",casual,3.041,118
"41.9117,-87.6268,41.9218,-87.6441",casual,2.238,158
"41.9117,-87.6268,41.9239,-87.6358",casual,1.754,232
"41.9117,-87.6268,41.9259,-87.639",casual,2.465,221
"41.9117,-87.6268,41.9263,-87.6308",casual,1.739,312
"41.9117,-87.6268,41.9295,-87.6431",casual,3.063,126
"41.9117,-87.6268,41.9313,-87.6387",casual,2.946,240
"41.9117,-87.6268,41.9313,-87.6387",member,2.946,223
"41.9117,-87.6268,41.9326,-87.6364",casual,2.816,344
"41.9117,-87.6268,41.9326,-87.6364",member,2.816,248
"41.9117,-87.6268,41.9367,-87.6368",casual,4,234
"41.9117,-87.6268,41.9376,-87.6441",casual,4.323,124
"41.9117,-87.6268,41.9408,-87.6392",casual,3.813,320
"41.9117,-87.6268,41.9408,-87.6392",member,3.813,286
"41.9117,-87.6268,41.9495,-87.6465",casual,6.097,148
"41.9117,-87.6268,41.964,-87.6382",casual,6.703,132
"41.912,-87.6319,41.8923,-87.612",casual,3.773,178
"41.912,-87.6319,41.903,-87.6313",member,1.001,242
"41.9121,-87.6347,41.8947,-87.6344",casual,1.943,128
"41.9121,-87.6347,41.8947,-87.6344",member,1.943,368
"41.9121,-87.6347,41.903,-87.6313",casual,1.267,142
"41.9121,-87.6347,41.903,-87.6313",member,1.267,526
"41.9121,-87.6347,41.9032,-87.6343",casual,0.987,162
"41.9121,-87.6347,41.9032,-87.6343",member,0.987,669
"41.9121,-87.6347,41.9067,-87.6348",member,0.902,404
"41.9121,-87.6347,41.9117,-87.6268",casual,1.188,103
"41.9121,-87.6347,41.9139,-87.6488",casual,1.565,102
"41.9121,-87.6347,41.9157,-87.6346",member,0.403,340
"41.9121,-87.6347,41.9183,-87.6363",casual,0.789,101
"41.9121,-87.6347,41.9183,-87.6363",member,0.789,357
"41.9121,-87.6347,41.9218,-87.6441",casual,1.431,216
"41.9121,-87.6347,41.9218,-87.6441",member,1.431,277
"41.9121,-87.6347,41.9222,-87.6389",casual,1.264,122
"41.9121,-87.6347,41.9222,-87.6389",member,1.264,253
"41.9121,-87.6347,41.9242,-87.6464",casual,1.749,245
"41.9121,-87.6347,41.9242,-87.6464",member,1.749,230
"41.9121,-87.6347,41.9259,-87.639",casual,1.814,131
"41.9121,-87.6347,41.9291,-87.6491",casual,2.396,102
